[2025-08-25 20:58:30,436] INFO in my_app: Page d'accueil visitée
[2025-08-25 21:20:27,951] INFO in my_app: Fichier uploadé : test.txt
[2025-08-25 21:20:27,954] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:20:28,024] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 21:20:28,028] INFO in my_app: Téléchargement fichier : f1.txt
[2025-08-25 21:20:28,092] INFO in my_app: Fichier uploadé : fdel.txt
[2025-08-25 21:20:28,198] INFO in my_app: Fichier supprimé : fdel.txt
[2025-08-25 21:20:28,201] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:20:28,322] WARNING in my_app: Tentative suppression fichier introuvable : inexistant.txt
[2025-08-25 21:20:28,325] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:20:28,441] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:20:28,510] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 21:20:28,524] INFO in my_app: Fichier uploadé : f2.txt
[2025-08-25 21:20:28,527] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:38:48,732] INFO in my_app: Page d'accueil visitée
[2025-08-25 21:38:49,736] INFO in my_app: Fichier uploadé : test.txt
[2025-08-25 21:38:49,883] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:38:50,157] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 21:38:50,161] INFO in my_app: Téléchargement fichier : f1.txt
[2025-08-25 21:38:50,379] INFO in my_app: Fichier uploadé : fdel.txt
[2025-08-25 21:38:50,532] INFO in my_app: Fichier supprimé : fdel.txt
[2025-08-25 21:38:50,538] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:38:50,777] WARNING in my_app: Tentative suppression fichier introuvable : inexistant.txt
[2025-08-25 21:38:50,781] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:38:50,957] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:38:51,199] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 21:38:51,244] INFO in my_app: Fichier uploadé : f2.txt
[2025-08-25 21:38:51,275] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:51:13,289] INFO in my_app: Page d'accueil visitée
[2025-08-25 21:51:13,944] INFO in my_app: Fichier uploadé : test.txt
[2025-08-25 21:51:14,029] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:51:14,112] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 21:51:14,115] INFO in my_app: Téléchargement fichier : f1.txt
[2025-08-25 21:51:14,177] INFO in my_app: Fichier uploadé : fdel.txt
[2025-08-25 21:51:14,285] INFO in my_app: Fichier supprimé : fdel.txt
[2025-08-25 21:51:14,288] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:51:14,363] WARNING in my_app: Tentative suppression fichier introuvable : inexistant.txt
[2025-08-25 21:51:14,368] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:51:15,192] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:51:15,264] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 21:51:15,282] INFO in my_app: Fichier uploadé : f2.txt
[2025-08-25 21:51:15,292] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:57:04,829] INFO in my_app: Page d'accueil visitée
[2025-08-25 21:57:05,537] INFO in my_app: Fichier uploadé : test.txt
[2025-08-25 21:57:05,669] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:57:05,822] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 21:57:05,825] INFO in my_app: Téléchargement fichier : f1.txt
[2025-08-25 21:57:05,956] INFO in my_app: Fichier uploadé : fdel.txt
[2025-08-25 21:57:06,063] INFO in my_app: Fichier supprimé : fdel.txt
[2025-08-25 21:57:06,066] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:57:06,147] WARNING in my_app: Tentative suppression fichier introuvable : inexistant.txt
[2025-08-25 21:57:06,154] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:57:06,212] INFO in my_app: Liste des fichiers consultée
[2025-08-25 21:57:06,328] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 21:57:06,342] INFO in my_app: Fichier uploadé : f2.txt
[2025-08-25 21:57:06,345] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:36:00,292] INFO in my_app: Page d'accueil visitée
[2025-08-25 22:36:00,926] INFO in my_app: Fichier uploadé : test.txt
[2025-08-25 22:36:01,012] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:36:01,114] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 22:36:01,117] INFO in my_app: Téléchargement fichier : f1.txt
[2025-08-25 22:36:01,248] INFO in my_app: Fichier uploadé : fdel.txt
[2025-08-25 22:36:01,356] INFO in my_app: Fichier supprimé : fdel.txt
[2025-08-25 22:36:01,360] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:36:01,428] WARNING in my_app: Tentative suppression fichier introuvable : inexistant.txt
[2025-08-25 22:36:01,431] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:36:01,516] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:36:01,620] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 22:36:01,632] INFO in my_app: Fichier uploadé : f2.txt
[2025-08-25 22:36:01,637] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:44:55,781] INFO in my_app: Page d'accueil visitée
[2025-08-25 22:44:56,325] INFO in my_app: Fichier uploadé : test.txt
[2025-08-25 22:44:56,329] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:44:56,428] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 22:44:56,431] INFO in my_app: Téléchargement fichier : f1.txt
[2025-08-25 22:44:56,524] INFO in my_app: Fichier uploadé : fdel.txt
[2025-08-25 22:44:56,680] INFO in my_app: Fichier supprimé : fdel.txt
[2025-08-25 22:44:56,683] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:44:56,752] WARNING in my_app: Tentative suppression fichier introuvable : inexistant.txt
[2025-08-25 22:44:56,757] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:44:56,905] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:44:57,035] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 22:44:57,098] INFO in my_app: Fichier uploadé : f2.txt
[2025-08-25 22:44:57,102] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:49:43,417] INFO in my_app: Page d'accueil visitée
[2025-08-25 22:49:44,117] INFO in my_app: Fichier uploadé : test.txt
[2025-08-25 22:49:44,200] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:49:44,303] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 22:49:44,315] INFO in my_app: Téléchargement fichier : f1.txt
[2025-08-25 22:49:44,448] INFO in my_app: Fichier uploadé : fdel.txt
[2025-08-25 22:49:44,574] INFO in my_app: Fichier supprimé : fdel.txt
[2025-08-25 22:49:44,577] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:49:44,769] WARNING in my_app: Tentative suppression fichier introuvable : inexistant.txt
[2025-08-25 22:49:44,774] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:49:44,831] INFO in my_app: Liste des fichiers consultée
[2025-08-25 22:49:44,937] INFO in my_app: Fichier uploadé : f1.txt
[2025-08-25 22:49:44,949] INFO in my_app: Fichier uploadé : f2.txt
[2025-08-25 22:49:44,952] INFO in my_app: Liste des fichiers consultée
